,kpca__kernel,kpca__n_components,log_reg__kernel,kpca__gamma,kpca__degree,Accuracy,Fit_time
0,linear,100,rbf,,,0.8574096711253203,0.7326571464538574
1,linear,100,linear,,,0.797759702860904,0.617847490310669
2,linear,100,sigmoid,,,0.7361809163355979,0.6228384494781494
3,linear,300,rbf,,,0.8506206069724251,1.0854083061218263
4,linear,300,linear,,,0.8103622558123135,0.788198184967041
5,linear,300,sigmoid,,,0.7434518912057171,0.8377570629119873
6,linear,500,rbf,,,0.8486812101835962,1.4787545204162598
7,linear,500,linear,,,0.8084228590234843,1.0379645824432373
8,linear,500,sigmoid,,,0.7512071275770469,1.1186762809753419
9,linear,700,rbf,,,0.8501375208632078,2.02396821975708
10,linear,700,linear,,,0.813271350995557,1.404226541519165
11,linear,700,sigmoid,,,0.7512130045370131,1.5070584297180176
12,linear,1000,rbf,,,0.8491666470768001,2.8824436187744142
13,linear,1000,linear,,,0.8142422247819647,1.9792595863342286
14,linear,1000,sigmoid,,,0.7521815275394343,2.0783366680145265
15,linear,2000,rbf,,,0.8496509085780108,4.5246199607849125
16,linear,2000,linear,,,0.8127882648863395,3.1163057327270507
17,linear,2000,sigmoid,,,0.7521815275394343,3.252858304977417
18,rbf,100,rbf,0.03,,0.7720644584969087,1.1080880641937256
19,rbf,100,linear,0.03,,0.7318061073367967,1.0014002323150635
20,rbf,100,sigmoid,0.03,,0.7812783563318366,0.9864404201507568
21,rbf,300,rbf,0.03,,0.7279261383671454,1.5628845691680908
22,rbf,300,linear,0.03,,0.7793366087590211,1.269623327255249
23,rbf,300,sigmoid,0.03,,0.8263746209360822,1.2793024063110352
24,rbf,500,rbf,0.03,,0.739573097628059,2.05623254776001
25,rbf,500,linear,0.03,,0.7958214814640682,1.6486907005310059
26,rbf,500,sigmoid,0.03,,0.8258880086508851,1.6636787414550782
27,rbf,700,rbf,0.03,,0.5693528291685277,2.6612696647644043
28,rbf,700,linear,0.03,,0.8069677237358658,2.2586697578430175
29,rbf,700,sigmoid,0.03,,0.8273478455064763,2.2023239612579344
30,rbf,1000,rbf,0.03,,0.4626389901031994,3.5613404750823974
31,rbf,1000,linear,0.03,,0.8132772279555232,3.2587437629699707
32,rbf,1000,sigmoid,0.03,,0.8273443193304969,3.2552377223968505
33,rbf,2000,rbf,0.03,,0.7609005853452127,4.42337851524353
34,rbf,2000,linear,0.03,,0.8351042572697995,4.280533409118652
35,rbf,2000,sigmoid,0.03,,0.8312242883001482,4.329292869567871
36,rbf,100,rbf,0.03222222222222222,,0.7633336467711982,1.0853979110717773
37,rbf,100,linear,0.03222222222222222,,0.7158066715249536,0.9819472312927247
38,rbf,100,sigmoid,0.03222222222222222,,0.7749759044641389,1.0082021236419678
39,rbf,300,rbf,0.03222222222222222,,0.6998084111051035,1.6117215633392334
40,rbf,300,linear,0.03222222222222222,,0.7720621077129222,1.2678330421447754
41,rbf,300,sigmoid,0.03222222222222222,,0.8137603140647407,1.2877420425415038
42,rbf,500,rbf,0.03222222222222222,,0.7274559815698536,2.043414497375488
43,rbf,500,linear,0.03222222222222222,,0.7875808081995346,1.6693891525268554
44,rbf,500,sigmoid,0.03222222222222222,,0.8186099814288065,1.6745652198791503
45,rbf,700,rbf,0.03222222222222222,,0.5315298902183878,2.6771327018737794
46,rbf,700,linear,0.03222222222222222,,0.8026046686569972,2.2459192276000977
47,rbf,700,sigmoid,0.03222222222222222,,0.8220103904652201,2.2690600395202636
48,rbf,1000,rbf,0.03222222222222222,,0.43305554902560006,3.5429898262023927
49,rbf,1000,linear,0.03222222222222222,,0.8108547450574767,3.266093111038208
50,rbf,1000,sigmoid,0.03222222222222222,,0.8244375749312395,3.2884568214416503
51,rbf,2000,rbf,0.03222222222222222,,0.7531406474059099,4.437279415130615
52,rbf,2000,linear,0.03222222222222222,,0.8278309316156938,4.25299072265625
53,rbf,2000,sigmoid,0.03222222222222222,,0.8254096241096406,4.276464366912842
54,rbf,100,rbf,0.034444444444444444,,0.753146524365876,1.0780272483825684
55,rbf,100,linear,0.034444444444444444,,0.709019958156045,0.9781373977661133
56,rbf,100,sigmoid,0.034444444444444444,,0.7691565387056583,1.0197601795196534
57,rbf,300,rbf,0.034444444444444444,,0.6818660523284515,1.5410962104797363
58,rbf,300,linear,0.034444444444444444,,0.7575131056207245,1.2612479209899903
59,rbf,300,sigmoid,0.034444444444444444,,0.8055196408002068,1.3040323734283448
60,rbf,500,rbf,0.034444444444444444,,0.7070923152871482,2.041842222213745
61,rbf,500,linear,0.034444444444444444,,0.775933848938621,1.6685067176818849
62,rbf,500,sigmoid,0.034444444444444444,,0.8147311878511484,1.6813079357147216
63,rbf,700,rbf,0.034444444444444444,,0.48302851500975574,2.712355899810791
64,rbf,700,linear,0.034444444444444444,,0.7933907708220691,2.2663007736206056
65,rbf,700,sigmoid,0.034444444444444444,,0.8157055878135357,2.2607590198516845
66,rbf,1000,rbf,0.034444444444444444,,0.39716848068830957,3.582003355026245
67,rbf,1000,linear,0.034444444444444444,,0.8064846376266486,3.273278570175171
68,rbf,1000,sigmoid,0.034444444444444444,,0.8176461599943581,3.347311592102051
69,rbf,2000,rbf,0.034444444444444444,,0.7492583276522721,4.4477911472320555
70,rbf,2000,linear,0.034444444444444444,,0.821523778180023,4.238169956207275
71,rbf,2000,sigmoid,0.034444444444444444,,0.8195890829591669,4.367936611175537
72,rbf,100,rbf,0.03666666666666667,,0.7376325254472367,1.125042724609375
73,rbf,100,linear,0.03666666666666667,,0.6857401443381368,1.011876153945923
74,rbf,100,sigmoid,0.03666666666666667,,0.765757305061238,1.0193390846252441
75,rbf,300,rbf,0.03666666666666667,,0.6624650320882015,1.6141657829284668
76,rbf,300,linear,0.03666666666666667,,0.748301558569783,1.2835683345794677
77,rbf,300,sigmoid,0.03666666666666667,,0.800178659582971,1.307743740081787
78,rbf,500,rbf,0.03666666666666667,,0.6794388678624321,2.0714391231536866
79,rbf,500,linear,0.03666666666666667,,0.7701180093561203,1.7016851902008057
80,rbf,500,sigmoid,0.03666666666666667,,0.8055137638402406,1.720677089691162
81,rbf,700,rbf,0.03666666666666667,,0.45150450175133405,2.7134472370147704
82,rbf,700,linear,0.03666666666666667,,0.7846658360563248,2.2868603706359862
83,rbf,700,sigmoid,0.03666666666666667,,0.8074590375890359,2.2948225498199464
84,rbf,1000,rbf,0.03666666666666667,,0.36661886739227534,3.5453900337219237
85,rbf,1000,linear,0.03666666666666667,,0.8006687980441477,3.2911234855651856
86,rbf,1000,sigmoid,0.03666666666666667,,0.8089153482686475,3.3657291889190675
87,rbf,2000,rbf,0.03666666666666667,,0.7473201062554361,4.428142642974853
88,rbf,2000,linear,0.03666666666666667,,0.8142516279179105,4.259353971481323
89,rbf,2000,sigmoid,0.03666666666666667,,0.8069841792237711,4.375573205947876
90,rbf,100,rbf,0.03888888888888889,,0.7255095324290652,1.092139720916748
91,rbf,100,linear,0.03888888888888889,,0.664882813418275,0.9902152061462403
92,rbf,100,sigmoid,0.03888888888888889,,0.7589729424763159,1.0072526931762695
93,rbf,300,rbf,0.03888888888888889,,0.6387044829450621,1.5733524322509767
94,rbf,300,linear,0.03888888888888889,,0.7342379933707892,1.3082173347473145
95,rbf,300,sigmoid,0.03888888888888889,,0.7895131526364042,1.2954641819000243
96,rbf,500,rbf,0.03888888888888889,,0.6639142904158536,2.0399357795715334
97,rbf,500,linear,0.03888888888888889,,0.75896353934037,1.7267162799835205
98,rbf,500,sigmoid,0.03888888888888889,,0.7996955734737535,1.7094315528869628
99,rbf,700,rbf,0.03888888888888889,,0.4131937751240039,2.693410539627075
100,rbf,700,linear,0.03888888888888889,,0.7764181104398318,2.302255153656006
101,rbf,700,sigmoid,0.03888888888888889,,0.7977608782528973,2.2876065731048585
102,rbf,1000,rbf,0.03888888888888889,,0.34187804132678246,3.5463022232055663
103,rbf,1000,linear,0.03888888888888889,,0.7866087590211335,3.299591588973999
104,rbf,1000,sigmoid,0.03888888888888889,,0.7992218905004819,3.382535457611084
105,rbf,2000,rbf,0.03888888888888889,,0.743441312677778,4.4318280696868895
106,rbf,2000,linear,0.03888888888888889,,0.8050412562589624,4.214656496047974
107,rbf,2000,sigmoid,0.03888888888888889,,0.7943733985284092,4.3347913265228275
108,rbf,100,rbf,0.04111111111111111,,0.710964056512847,1.097056245803833
109,rbf,100,linear,0.04111111111111111,,0.6406309504219657,1.0067435264587403
110,rbf,100,sigmoid,0.04111111111111111,,0.7507240414678295,1.0586612701416016
111,rbf,300,rbf,0.04111111111111111,,0.620275511883213,1.5386666774749755
112,rbf,300,linear,0.04111111111111111,,0.7196913420625778,1.298266839981079
113,rbf,300,sigmoid,0.04111111111111111,,0.7832059992007334,1.340757131576538
114,rbf,500,rbf,0.04111111111111111,,0.6454806177860317,2.073264741897583
115,rbf,500,linear,0.04111111111111111,,0.7478090693246198,1.7584060192108155
116,rbf,500,sigmoid,0.04111111111111111,,0.792423423211641,1.7214360237121582
117,rbf,700,rbf,0.04111111111111111,,0.37778744211194437,2.676450490951538
118,rbf,700,linear,0.04111111111111111,,0.7686605232845153,2.3076250553131104
119,rbf,700,sigmoid,0.04111111111111111,,0.7924269493876207,2.2967769622802736
120,rbf,1000,rbf,0.04111111111111111,,0.3190836644020781,3.543730115890503
121,rbf,1000,linear,0.04111111111111111,,0.7807929194386328,3.3089387893676756
122,rbf,1000,sigmoid,0.04111111111111111,,0.7938879616352053,3.4365390300750733
123,rbf,2000,rbf,0.04111111111111111,,0.7361679870236724,4.440832233428955
124,rbf,2000,linear,0.04111111111111111,,0.7982498413220809,4.274151802062988
125,rbf,2000,sigmoid,0.04111111111111111,,0.785158325301488,4.442215394973755
126,rbf,100,rbf,0.043333333333333335,,0.7002926726063142,1.0803276538848876
127,rbf,100,linear,0.043333333333333335,,0.6246303392181293,1.000931406021118
128,rbf,100,sigmoid,0.043333333333333335,,0.7366510731328899,1.0125189304351807
129,rbf,300,rbf,0.043333333333333335,,0.6013611039281599,1.5577270984649658
130,rbf,300,linear,0.043333333333333335,,0.6998084111051035,1.2934998989105224
131,rbf,300,sigmoid,0.043333333333333335,,0.771078304614589,1.2949567317962647
132,rbf,500,rbf,0.043333333333333335,,0.6256000376125438,2.0800421237945557
133,rbf,500,linear,0.043333333333333335,,0.7361726885916454,1.7113354206085205
134,rbf,500,sigmoid,0.043333333333333335,,0.7778779472954229,1.7317940235137939
135,rbf,700,rbf,0.043333333333333335,,0.3472354780319236,2.689025068283081
