,kpca__kernel,kpca__n_components,kpca__gamma,kpca__degree,Accuracy,Fit_time
0,linear,100,,,0.7513493598599982,0.5851836681365967
1,linear,300,,,0.7471235147830892,0.8056403160095215
2,linear,500,,,0.7507598784194529,1.076293134689331
3,linear,700,,,0.7489380123422678,1.3600002765655517
4,linear,1000,,,0.745301648705904,2.577490711212158
5,linear,1500,,,0.745905867182463,3.391442584991455
6,linear,2000,,,0.745905867182463,3.377423572540283
7,rbf,100,0.03,,0.6876853642811089,0.6823730945587159
8,rbf,300,0.03,,0.7173970710140923,0.8683668613433838
9,rbf,500,0.03,,0.7216413373860182,1.0563830852508544
10,rbf,700,0.03,,0.7277074698351294,1.2748692512512207
11,rbf,1000,0.03,,0.7319554204660588,1.938465404510498
12,rbf,1500,0.03,,0.7337736022842406,1.906351661682129
13,rbf,2000,0.03,,0.7337736022842406,1.9347185611724853
14,rbf,100,0.03222222222222222,,0.6822289766970617,0.6807876110076905
15,rbf,300,0.03222222222222222,,0.7137607073777286,0.8363241195678711
16,rbf,500,0.03222222222222222,,0.7179994473611495,1.0250906944274902
17,rbf,700,0.03222222222222222,,0.7228553007276411,1.2470492839813232
18,rbf,1000,0.03222222222222222,,0.7264935064935065,1.9968667507171631
19,rbf,1500,0.03222222222222222,,0.7301317122593719,1.8162563800811768
20,rbf,2000,0.03222222222222222,,0.7301317122593719,1.8487274169921875
21,rbf,100,0.034444444444444444,,0.674947038776826,0.6891818523406983
22,rbf,300,0.034444444444444444,,0.7046642718983145,0.8550360202789307
23,rbf,500,0.034444444444444444,,0.7119369991710417,1.0233861923217773
24,rbf,700,0.034444444444444444,,0.7161812655429678,1.2863597869873047
25,rbf,1000,0.034444444444444444,,0.7216394952565166,1.929530096054077
26,rbf,1500,0.034444444444444444,,0.7252795431518836,1.9250359058380127
27,rbf,2000,0.034444444444444444,,0.7252795431518836,1.8782896518707275
28,rbf,100,0.03666666666666667,,0.6694851248042738,0.7135671138763428
29,rbf,300,0.03666666666666667,,0.6998139449203279,0.8605292320251465
30,rbf,500,0.03666666666666667,,0.7107248779589205,1.0046221256256103
31,rbf,700,0.03666666666666667,,0.7131454361241596,1.2343882083892823
32,rbf,1000,0.03666666666666667,,0.7161794234134661,1.9837249279022218
33,rbf,1500,0.03666666666666667,,0.7204255319148937,1.7988414764404297
34,rbf,2000,0.03666666666666667,,0.7204255319148937,1.836435317993164
35,rbf,100,0.03888888888888889,,0.6622050290135396,0.6907701969146729
36,rbf,300,0.03888888888888889,,0.6949617758128396,0.8297004222869873
37,rbf,500,0.03888888888888889,,0.7010242240029474,1.000518560409546
38,rbf,700,0.03888888888888889,,0.7101169752233581,1.2436788082122803
39,rbf,1000,0.03888888888888889,,0.7137551809892234,1.856490468978882
40,rbf,1500,0.03888888888888889,,0.7173952288845905,1.786607837677002
41,rbf,2000,0.03888888888888889,,0.7173952288845905,1.7767696380615234
42,rbf,100,0.04111111111111111,,0.6549249332228055,0.6697172164916992
43,rbf,300,0.04111111111111111,,0.6888956433637284,0.8450827121734619
44,rbf,500,0.04111111111111111,,0.6967799576310215,1.0425121784210205
45,rbf,700,0.04111111111111111,,0.7034466242976881,1.2225024223327636
46,rbf,1000,0.04111111111111111,,0.7095090724877958,1.8569908618927002
47,rbf,1500,0.04111111111111111,,0.7125430597771023,1.7312272548675538
48,rbf,2000,0.04111111111111111,,0.7125430597771023,1.766442060470581
49,rbf,100,0.043333333333333335,,0.6512867274569402,0.7266046524047851
50,rbf,300,0.043333333333333335,,0.6858634982039237,0.8238531589508057
51,rbf,500,0.043333333333333335,,0.694959933683338,1.0023781299591064
52,rbf,700,0.043333333333333335,,0.6985981394492032,1.234289026260376
53,rbf,1000,0.043333333333333335,,0.7064787694574929,1.8650970458984375
54,rbf,1500,0.043333333333333335,,0.708904854011237,1.8065202236175537
55,rbf,2000,0.043333333333333335,,0.708904854011237,1.8684306621551514
56,rbf,100,0.04555555555555556,,0.6452224371373309,0.7005224227905273
57,rbf,300,0.04555555555555556,,0.6840434742562402,0.8558733463287354
58,rbf,500,0.04555555555555556,,0.693141751865156,0.9948203563690186
59,rbf,700,0.04555555555555556,,0.6961757391544625,1.2174204349517823
60,rbf,1000,0.04555555555555556,,0.7046624297688127,1.8564127445220948
61,rbf,1500,0.04555555555555556,,0.7082987934051764,1.7681591987609864
62,rbf,2000,0.04555555555555556,,0.7082987934051764,1.7645706176757812
63,rbf,100,0.04777777777777778,,0.6421847655890209,0.6798254489898682
64,rbf,300,0.04777777777777778,,0.6791913051487519,0.8452729225158692
65,rbf,500,0.04777777777777778,,0.6888974854932302,0.9842043876647949
66,rbf,700,0.04777777777777778,,0.6913217279174726,1.2126337528228759
67,rbf,1000,0.04777777777777778,,0.6998121027908262,1.8689927101135253
68,rbf,1500,0.04777777777777778,,0.7034484664271898,1.7221879482269287
69,rbf,2000,0.04777777777777778,,0.7034484664271898,1.7055549144744873
70,rbf,100,0.05,,0.6409744865064014,0.6472562789916992
71,rbf,300,0.05,,0.6755402044763746,0.8300925254821777
72,rbf,500,0.05,,0.6870737772865432,0.9751054286956787
73,rbf,700,0.05,,0.6901040803168463,1.2387805461883545
74,rbf,1000,0.05,,0.6961720548954592,1.8255422592163086
75,rbf,1500,0.05,,0.7016321267385097,1.7201517581939698
76,rbf,2000,0.05,,0.7016321267385097,1.7339445114135743
77,sigmoid,100,0.03,,0.10551901998710511,0.27302021980285646
78,sigmoid,300,0.03,,0.10551901998710511,0.298654842376709
79,sigmoid,500,0.03,,0.10551901998710511,0.33604750633239744
80,sigmoid,700,0.03,,0.10551901998710511,0.3424102783203125
81,sigmoid,1000,0.03,,0.10551901998710511,0.41175060272216796
82,sigmoid,1500,0.03,,0.10551901998710511,0.4518879890441895
83,sigmoid,2000,0.03,,0.10551901998710511,0.4874392032623291
84,sigmoid,100,0.03222222222222222,,0.10551901998710511,0.28083233833312987
85,sigmoid,300,0.03222222222222222,,0.10551901998710511,0.2913226127624512
86,sigmoid,500,0.03222222222222222,,0.10551901998710511,0.31256742477416993
87,sigmoid,700,0.03222222222222222,,0.10551901998710511,0.35771875381469725
88,sigmoid,1000,0.03222222222222222,,0.10551901998710511,0.40435328483581545
89,sigmoid,1500,0.03222222222222222,,0.10551901998710511,0.4742890357971191
90,sigmoid,2000,0.03222222222222222,,0.10551901998710511,0.47316408157348633
91,sigmoid,100,0.034444444444444444,,0.10551901998710511,0.27230243682861327
92,sigmoid,300,0.034444444444444444,,0.10551901998710511,0.2885426044464111
93,sigmoid,500,0.034444444444444444,,0.10551901998710511,0.3418748378753662
94,sigmoid,700,0.034444444444444444,,0.10551901998710511,0.3331320762634277
95,sigmoid,1000,0.034444444444444444,,0.10551901998710511,0.4082201957702637
96,sigmoid,1500,0.034444444444444444,,0.10551901998710511,0.4657322406768799
97,sigmoid,2000,0.034444444444444444,,0.10551901998710511,0.4813862323760986
98,sigmoid,100,0.03666666666666667,,0.10551901998710511,0.27057466506958006
99,sigmoid,300,0.03666666666666667,,0.10551901998710511,0.29719953536987304
100,sigmoid,500,0.03666666666666667,,0.10551901998710511,0.31674704551696775
101,sigmoid,700,0.03666666666666667,,0.10551901998710511,0.33741445541381837
102,sigmoid,1000,0.03666666666666667,,0.10551901998710511,0.4315898895263672
103,sigmoid,1500,0.03666666666666667,,0.10551901998710511,0.46830735206604
104,sigmoid,2000,0.03666666666666667,,0.10551901998710511,0.4617928028106689
105,sigmoid,100,0.03888888888888889,,0.10551901998710511,0.2688442707061768
106,sigmoid,300,0.03888888888888889,,0.10551901998710511,0.2954848766326904
107,sigmoid,500,0.03888888888888889,,0.10551901998710511,0.31335959434509275
108,sigmoid,700,0.03888888888888889,,0.10551901998710511,0.34299049377441404
109,sigmoid,1000,0.03888888888888889,,0.10551901998710511,0.4046412467956543
110,sigmoid,1500,0.03888888888888889,,0.10551901998710511,0.4691499710083008
111,sigmoid,2000,0.03888888888888889,,0.10551901998710511,0.45833139419555663
112,sigmoid,100,0.04111111111111111,,0.10551901998710511,0.28839287757873533
113,sigmoid,300,0.04111111111111111,,0.10551901998710511,0.2946609973907471
114,sigmoid,500,0.04111111111111111,,0.10551901998710511,0.31706814765930175
115,sigmoid,700,0.04111111111111111,,0.10551901998710511,0.33672642707824707
116,sigmoid,1000,0.04111111111111111,,0.10551901998710511,0.3884111404418945
117,sigmoid,1500,0.04111111111111111,,0.10551901998710511,0.4728273391723633
118,sigmoid,2000,0.04111111111111111,,0.10551901998710511,0.46080522537231444
119,sigmoid,100,0.043333333333333335,,0.10551901998710511,0.28201942443847655
120,sigmoid,300,0.043333333333333335,,0.10551901998710511,0.28929705619812013
121,sigmoid,500,0.043333333333333335,,0.10551901998710511,0.3270876884460449
122,sigmoid,700,0.043333333333333335,,0.10551901998710511,0.383985710144043
123,sigmoid,1000,0.043333333333333335,,0.10551901998710511,0.3974005222320557
124,sigmoid,1500,0.043333333333333335,,0.10551901998710511,0.4696177959442139
125,sigmoid,2000,0.043333333333333335,,0.10551901998710511,0.4662430763244629
126,sigmoid,100,0.04555555555555556,,0.10551901998710511,0.27939763069152834
127,sigmoid,300,0.04555555555555556,,0.10551901998710511,0.30019292831420896
128,sigmoid,500,0.04555555555555556,,0.10551901998710511,0.3092978000640869
129,sigmoid,700,0.04555555555555556,,0.10551901998710511,0.33310136795043943
130,sigmoid,1000,0.04555555555555556,,0.10551901998710511,0.3988081455230713
131,sigmoid,1500,0.04555555555555556,,0.10551901998710511,0.46132378578186034
132,sigmoid,2000,0.04555555555555556,,0.10551901998710511,0.4901584625244141
133,sigmoid,100,0.04777777777777778,,0.10551901998710511,0.2726311683654785
134,sigmoid,300,0.04777777777777778,,0.10551901998710511,0.3152165412902832
135,sigmoid,500,0.04777777777777778,,0.10551901998710511,0.311937141418457
136,sigmoid,700,0.04777777777777778,,0.10551901998710511,0.3399021148681641
137,sigmoid,1000,0.04777777777777778,,0.10551901998710511,0.39722490310668945
138,sigmoid,1500,0.04777777777777778,,0.10551901998710511,0.4682173252105713
139,sigmoid,2000,0.04777777777777778,,0.10551901998710511,0.4621134757995605
140,sigmoid,100,0.05,,0.10551901998710511,0.27349042892456055
141,sigmoid,300,0.05,,0.10551901998710511,0.2966796398162842
142,sigmoid,500,0.05,,0.10551901998710511,0.3389707565307617
143,sigmoid,700,0.05,,0.10551901998710511,0.3412186622619629
144,sigmoid,1000,0.05,,0.10551901998710511,0.3887621879577637
145,sigmoid,1500,0.05,,0.10551901998710511,0.46447138786315917
146,sigmoid,2000,0.05,,0.10551901998710511,0.4680483341217041
147,poly,100,0.03,1.0,0.7628700377636548,0.45239787101745604
148,poly,300,0.03,1.0,0.7616597586810352,0.6137793064117432
149,poly,500,0.03,1.0,0.757417334438611,0.828173303604126
150,poly,700,0.03,1.0,0.7574154923091093,1.0707279205322267
151,poly,1000,0.03,1.0,0.7568094317030487,1.8862675189971925
152,poly,1500,0.03,1.0,0.7568094317030487,1.7252046585083007
153,poly,2000,0.03,1.0,0.7568094317030487,1.7081888675689698
154,poly,100,0.03222222222222222,1.0,0.7622602928985909,0.4450657367706299
155,poly,300,0.03222222222222222,1.0,0.7634779404992171,0.6444836616516113
156,poly,500,0.03222222222222222,1.0,0.7604476374689141,0.8130673885345459
157,poly,700,0.03222222222222222,1.0,0.7610536980749746,1.0902244567871093
158,poly,1000,0.03222222222222222,1.0,0.7604457953394125,1.8050737380981445
159,poly,1500,0.03222222222222222,1.0,0.7598397347333519,1.6924914360046386
160,poly,2000,0.03222222222222222,1.0,0.7598397347333519,1.7313669204711915
