,pca__n_components,Accuracy,Fit_time
0,100,0.7662392157784621,1.5716544151306153
1,300,0.7565375302663438,2.073469066619873
2,700,0.7570217917675545,3.67755012512207
3,500,0.7599344131267779,2.7256870746612547
4,1000,0.7570206163755612,5.846931600570679
5,2000,,0.023972606658935545
